liwc_posemo,liwc_negemo,liwc_anxiety,liwc_anger,liwc_sadness,liwc_cogproc,liwc_tentativeness,liwc_self_focus,liwc_social,liwc_work,liwc_time_pressure,liwc_somatic,liwc_coping
2.81,2.81,2.41,0.0,0.0,17.27,0.8,10.44,0.8,1.2,9.24,0.4,0.8025
6.1,2.35,1.41,0.0,0.0,9.39,0.47,12.68,2.35,1.41,9.86,0.94,0.94
0.79,4.74,3.16,0.0,0.0,10.67,1.98,9.88,1.19,3.16,11.07,1.585,0.79
0.43,5.11,2.98,0.0,0.0,14.04,2.98,8.51,0.85,1.7,11.06,2.34,0.64
0.0,4.87,3.54,0.0,0.0,20.35,0.88,7.08,0.0,1.33,7.96,0.88,0.3325
0.99,5.94,2.97,0.0,0.0,15.84,2.48,7.43,0.5,1.49,9.41,0.5,0.8675
0.79,3.16,2.37,0.0,0.0,18.18,3.16,9.88,0.0,2.37,16.6,0.0,0.6925
2.55,3.65,2.92,0.0,0.0,13.14,2.92,7.3,0.0,1.46,12.04,0.0,0.9125
1.55,4.66,4.15,0.0,0.0,16.06,5.7,7.25,1.55,1.55,4.66,0.52,0.6475
1.35,4.95,3.6,0.0,0.0,15.77,1.8,10.81,1.35,4.05,12.61,0.0,1.35
0.41,4.51,2.87,0.0,0.0,14.34,0.0,8.2,0.0,4.92,11.07,1.025,0.9225
0.41,3.73,2.49,0.0,0.0,15.77,1.66,9.96,1.66,3.73,12.86,1.45,1.5550000000000002
0.72,3.6,2.88,0.0,0.0,12.95,2.16,8.63,3.6,5.04,12.23,0.0,1.26
3.68,2.94,2.94,0.0,0.0,9.56,1.47,12.5,0.74,1.47,13.24,0.0,0.5525
2.84,2.13,1.42,0.0,0.0,12.77,2.13,9.93,0.71,2.84,12.77,0.71,1.4175
1.27,3.18,1.91,0.0,0.0,10.19,0.0,5.73,1.91,8.28,10.19,0.64,0.955
1.24,2.48,1.24,0.0,0.0,11.18,1.24,4.97,0.62,6.21,15.53,1.55,1.0875
2.02,4.05,1.21,0.0,0.0,15.79,0.4,12.15,0.4,5.26,7.29,0.81,1.2149999999999999
0.0,2.76,1.18,0.0,0.0,11.42,1.18,8.66,0.0,5.12,9.84,0.59,0.985
1.46,1.82,1.09,0.0,0.0,13.14,0.73,8.03,2.55,6.2,16.42,0.18,1.46
1.84,1.84,1.38,0.0,0.0,11.52,2.76,8.76,0.46,0.0,14.29,0.46,0.345
0.39,2.7,1.16,0.0,0.0,10.42,1.54,8.88,0.77,1.16,14.29,0.77,0.385
0.48,1.43,1.43,0.0,0.0,10.48,1.9,5.71,2.86,5.71,10.0,0.0,1.0725
4.08,3.06,3.06,0.0,0.0,11.22,3.06,11.22,2.04,3.06,12.24,2.55,0.765
0.6,6.59,4.19,0.0,0.6,20.96,1.8,13.17,1.2,3.59,6.59,1.8,0.45
0.0,4.83,2.41,0.34,0.0,16.55,2.76,11.72,2.41,5.52,12.76,2.07,0.86
1.33,1.33,0.67,0.0,0.0,19.0,2.0,12.67,1.33,2.0,11.67,0.33,0.75
2.8,2.49,1.87,0.0,0.0,20.25,2.8,10.28,0.62,0.93,9.97,0.775,0.2325
3.38,2.7,2.03,0.0,0.34,17.57,3.38,11.49,2.03,1.01,11.15,0.17,0.5925
1.79,3.58,1.79,0.0,0.6,16.42,1.49,11.34,0.6,4.78,7.16,1.3399999999999999,0.97
1.16,5.51,0.58,1.74,0.29,16.81,2.03,12.46,3.19,2.9,8.41,1.16,0.2175
1.29,5.5,3.24,0.65,0.0,19.09,3.88,10.68,3.88,3.88,6.15,0.32,0.645
0.3,3.88,1.49,0.3,0.0,22.69,3.88,10.75,3.28,2.39,6.87,0.9,0.0
1.49,4.18,2.69,0.0,0.3,25.37,5.07,12.54,1.49,2.39,8.96,0.3,0.3725
2.76,3.07,2.15,0.0,0.0,23.62,5.83,10.74,0.92,1.53,6.75,0.61,0.46
1.98,5.53,3.16,0.0,0.0,23.32,5.93,9.49,1.19,1.98,5.53,1.19,0.395
0.0,6.29,2.32,0.99,0.0,18.87,4.3,12.25,2.98,1.66,6.29,1.155,0.16499999999999998
2.22,5.06,1.27,0.32,0.63,18.04,3.16,13.29,1.9,2.85,7.28,1.74,0.47500000000000003
0.0,0.0,0.0,0.0,0.0,13.21,0.0,7.55,3.77,5.66,9.43,0.0,0.4725
0.0,1.23,0.0,0.0,0.0,8.64,1.23,4.94,4.94,2.47,9.88,1.23,0.0
1.49,2.99,1.49,0.0,1.49,16.42,0.0,5.97,5.97,7.46,2.99,1.495,0.7475
3.85,1.92,1.92,0.0,0.0,7.69,0.0,9.62,0.0,3.85,9.62,0.0,1.4425
3.92,5.88,5.88,0.0,0.0,9.8,0.0,13.73,0.0,3.92,11.76,0.0,0.98
1.61,4.03,2.42,0.81,0.0,12.9,4.03,8.06,12.1,2.42,12.1,0.0,1.615
2.04,3.06,2.04,0.0,0.0,14.29,1.02,7.14,1.02,0.0,5.1,0.0,0.51
1.22,3.66,3.66,0.0,0.0,15.85,1.22,10.98,4.88,3.66,1.22,0.0,-0.305
1.23,2.47,1.23,0.0,1.23,7.41,0.0,8.64,2.47,3.7,2.47,0.0,0.0
0.0,4.76,4.76,0.0,0.0,15.48,1.19,8.33,8.33,5.95,4.76,0.0,1.4874999999999998
3.85,3.85,3.85,0.0,0.0,23.08,3.85,11.54,0.0,0.0,0.0,0.0,0.0
1.28,5.13,3.85,0.0,0.0,10.26,2.56,8.97,7.69,5.13,7.69,1.28,0.64
0.0,4.11,4.11,0.0,0.0,21.92,5.48,9.59,4.11,1.37,5.48,0.0,0.685
0.0,5.0,3.33,0.0,1.67,18.33,3.33,10.0,1.67,0.0,3.33,0.835,0.4175
0.65,4.58,1.31,1.96,0.0,14.38,1.96,9.15,3.92,3.92,5.88,0.0,1.1425
0.0,3.76,2.26,0.0,0.0,12.03,2.26,8.27,0.75,4.51,12.78,1.505,1.1275
0.81,1.61,0.81,0.0,0.0,14.52,1.61,9.68,3.23,1.61,6.45,0.0,1.0075
0.0,7.78,2.22,0.0,0.0,15.56,1.11,11.11,2.22,3.33,6.67,1.11,1.11
